business_id,stars,Alcohol,Ambience_casual,Ambience_classy,BestNights_friday,BestNights_saturday,BikeParking,BusinessAcceptsCreditCards,BusinessParking_lot,BusinessParking_street,Caters,DogsAllowed,DriveThru,GoodForKids,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_lunch,GoodForMeal_dinner,HappyHour,HasTV,NoiseLevel,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,WheelchairAccessible,WiFi
EnS65S7FVGX_JOCieJL7uA,4.0,0.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.33,0,1,0,0.5,1,1,1,1,0.0
Q9G2gtnVDZgsNerHD9fX3Q,3.5,0.0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0.33,0,1,0,0.0,1,1,1,1,1.0
2y_CdkxEOJEJGyJApfCYpA,3.5,1.0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0.33,1,0,1,0.33,1,0,1,0,1.0
KBvdN8Apn4DIxuNW3IESRw,4.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,1,1,1,0.0,0,1,1,1,1.0
jzsspHqP9kATWji8xUhNFw,3.5,1.0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0.67,1,0,1,0.33,1,0,1,0,0.0
E3TTW-KPx9KLXE8HhI0IgQ,2.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.33,0,0,1,0.0,0,0,1,1,1.0
f493WyCHW4N9rCapdgPpfw,4.0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.33,0,1,0,0.0,0,0,1,0,0.0
Yn6oUj778ETC5kYs7IPH0g,3.0,0.0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0.0,0,1,1,0.33,1,0,1,1,1.0
2UDJpaTsYHu9CXmbUMO8Sg,3.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0,1,1,1,0.67,1,0,1,0,0.0
zbYmalSB_TiWWh44MholZA,3.0,1.0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0.33,1,0,1,0.33,1,0,1,0,1.0
r3X75SK37buS94mDls3q_Q,4.5,0.0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0.33,0,1,1,0.33,0,0,1,1,1.0
RJD88-WavTe7f-68Psn5VQ,3.0,0.5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0.0,0,1,1,0.33,0,0,1,0,0.0
7uMwPg2lmF_KscKo9lFCwQ,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.5,0,0,0,0,0.0
VwZ5NDbIu3elGQI6MzcXBA,4.5,1.0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0.33,0,1,1,0.33,1,1,1,1,1.0
W6k6b-bUaX0goySzl-zgTg,4.5,0.0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0.33,0,1,1,0.33,0,0,1,1,1.0
2fJ-WxJlUN6azp3bzrJ0zA,4.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.33,0,1,1,0.0,0,1,1,0,0.0
2OEL_uLdTg90PiFVh_HdIQ,4.5,0.0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0.0,0,1,1,0.0,0,0,1,1,1.0
lpbt16sSm4BTcfeq4j9JOg,3.5,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0.33,0,1,1,0.0,0,0,1,0,0.0
Ixr2-GfYKatXdq1rZnfHiA,3.5,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.33,0,0,1,0.0,0,0,1,0,1.0
rugDoz-A6vL-FG-8PbvOag,3.5,1.0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0.33,1,1,1,0.33,1,0,1,0,1.0
h3mMPUeFLnd6JjlztFBRXg,3.0,1.0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0.0,0,0,1,0.33,0,0,1,0,0.0
PQYuPr2Dfm2S49EULjl1qw,4.0,0.5,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0.33,0,0,1,0.33,1,1,1,0,0.0
1KJ-RZPlWo_wLA_VJpSR-A,4.0,0.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0.33,0,1,1,0.0,0,0,1,1,1.0
XZPL988dC2lRVAfFcuH7Xw,4.5,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0,1,0,0.0
XjXqBCD1Qyo7RHGGh2eX5g,3.5,0.5,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0.33,1,1,1,0.0,0,0,1,0,1.0
tHc3x4ESA3vyr9UiJlL6Pg,4.0,0.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0.0,1,1,1,0.0,1,1,1,1,1.0
z3sfOYNzS7JHdx2AwZlWBw,4.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.33,0,0,1,0.0,0,0,1,0,0.0
gN3VmmeNlcGTpuJfowWV9A,2.5,0.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0.33,0,1,1,0.0,0,0,1,0,1.0
1dSKEitDDgIkaApe6UNMSA,5.0,0.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,1,1,0.0
Gmj8oyfKmr0ezXaB2XVuOg,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,1,0,0.0
